datapath_id,dst_ip_count,src_ip_count,byte_count,packet_count,flow_count
1,66,4,1555676568,28807820,12
2,97,6,1555806818,28808797,17
3,59,4,182020,1395,11
1,66,4,1563806592,28958376,12
3,59,4,182020,1395,11
2,97,6,1563936680,28959350,17
1,66,4,1574059032,29148236,12
2,97,6,1574189282,29149213,17
3,59,4,182020,1395,11
1,66,4,1584798768,29347120,12
3,59,4,182020,1395,11
2,97,6,1584928964,29348096,17
1,66,4,1596185802,29557991,12
3,59,4,182020,1395,11
2,97,6,1596316106,29558969,17
3,59,4,182020,1395,11
1,66,4,1607450418,29766595,12
2,97,6,1607580560,29767570,17
1,66,4,1618937244,29979314,12
3,59,4,182020,1395,11
2,97,6,1619067494,29980291,17
1,66,4,1628930862,30164381,12
3,59,4,182020,1395,11
2,97,6,1629061058,30165357,17
1,66,4,1640665008,30381680,12
2,97,6,1640795150,30382655,17
3,59,4,182020,1395,11
1,66,4,1650440898,30562715,12
2,97,6,1650571040,30563690,17
3,59,4,182020,1395,11
1,66,4,1657638018,30695995,12
2,97,6,1657768214,30696971,17
3,59,4,182020,1395,11
2,97,6,1665792776,30845574,17
3,59,4,182020,1395,11
1,66,4,1665662580,30844598,12
2,97,6,1675164854,31019131,17
1,66,4,1675034604,31018154,12
3,59,4,182020,1395,11
1,66,4,1682361606,31153839,12
2,97,6,1682491976,31154818,17
3,59,4,182380,1401,11
1,66,4,1682361606,31153839,12
3,59,4,182380,1401,11
2,97,6,1682491976,31154818,17
1,66,4,1682361606,31153839,12
3,59,4,182380,1401,11
2,97,6,1682491976,31154818,17
1,66,4,1682361606,31153839,12
3,59,4,182380,1401,11
2,97,6,1682491976,31154818,17
